"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"0","162","135","150","0","","374","2020-07-08","2","0"
"0","162","19","150","0","","375","2020-07-08","2","0"
"42","162","19","49.48","2","","376","2021-02-25","2","0"
"42","162","135","79.64","2","","377","2021-02-25","2","0"
"0","152","124","54.12","0","Informaciones","378","2020-07-28","2","0"
"0","162","130","150","0","","379","2021-04-09","2","0"
"0","162","130","79.64","0","","380","2021-04-09","2","0"
"0","162","130","40.98","0","","381","2021-04-09","2","0"
"0","162","134","150","0","","382","2021-04-09","2","0"
"0","162","133","150","0","","383","2021-04-09","2","0"
"0","162","133","81.96","0","","384","2021-04-09","2","0"
"0","162","134","2.5","0","","385","2021-04-09","2","0"
"0","65","89","65","0","","386","2021-05-20","2","0"
"43","65","19","79.64","2","","393","2021-05-20","2","0"
"43","65","20","3.09","2","","394","2021-05-20","2","0"
"43","65","26","64.18","2","","395","2021-05-20","2","0"
"43","65","89","81.19","2","","396","2021-05-20","2","0"
"43","65","90","104.38","2","","397","2021-05-20","2","0"
"43","65","93","79.64","2","","398","2021-05-20","2","0"
"44","65","19","150","2","","402","2021-05-20","2","0"
"44","65","20","150","2","","403","2021-05-20","2","0"
"44","65","26","150","2","","404","2021-05-20","2","0"
"0","184","128","150","0","","406","2021-05-20","2","0"
"0","184","128","90","0","","407","2021-05-20","2","0"
"46","184","128","0","2","","409","2021-05-20","2","0"
"47","184","128","150","2","","411","2021-05-20","2","0"
"0","184","129","150","0","","412","2021-05-20","2","0"
"48","184","128","131.44","2","","415","2021-05-20","2","0"
"48","184","129","98.97","2","","416","2021-05-20","2","0"
"0","157","130","150","0","","417","2021-07-06","2","0"
"49","131","121","100","0","","424","","0","0"
"0","128","145","150","0","","425","2021-07-23","460","0"
"0","129","125","150","0","","426","2021-07-23","460","0"
"0","129","19","150","0","","427","2021-07-23","460","0"
"0","128","145","19.33","0","","428","2021-07-23","460","0"
"0","129","125","63.4","0","","429","2021-07-23","460","0"
"0","129","19","61.08","0","","430","2021-07-23","460","0"
"50","129","19","70.36","2","","433","2021-08-10","2","0"
"50","129","125","3.09","2","","434","2021-08-03","2","0"
